,Random Forest,Gradient Boosting,Logistic Regression,Decision Tree,SVM,Mean,Std,Score,Model_Count
Neisseria gonorrhoeae mtrR with mutation conferring resistance,0.0015198435143288084,0.0,,0.0,,0.0005066145047762695,0.0007164611035495295,0.04727442202057426,1
Escherichia coli nfsA mutations conferring resistance to nitrofurantoin,0.0014246846401187235,0.0,,0.0,,0.0004748948800395745,0.0006716027800535103,0.044500801784640005,1
Pseudomonas mutant PhoQ conferring resistance to colistin,0.001310615989515072,1.7312180654274856e-17,,0.0,,0.00043687199650502983,0.0006178303024784122,0.04114512890670849,2
Staphylococcus aureus cls conferring resistance to daptomycin,0.0012083451335787782,0.0,,0.0,,0.00040278171119292606,0.0005696193586448791,0.03810749446369527,1
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,0.0011914690813773381,0.0,,0.0,,0.0003971563604591127,0.0005616639113440149,0.037603578734647786,1
Acinetobacter baumannii parC conferring resistance to fluoroquinolones,0.0011786892975011788,0.0,,0.0,,0.0003928964325003929,0.000555639463450061,0.037221471409745986,1
Mycoplasma genitalium parC mutations confers resistance to Moxifloxacin,0.001165048543689321,0.0,,0.0,,0.000388349514563107,0.0005492091504361536,0.0368131401155366,1
Haemophilus parainfluenzae gyrA conferring resistance to fluoroquinolones,0.0009079445145018911,0.0,,0.0,,0.00030264817150063035,0.0004280091487636099,0.029022622360905165,1
Enterococcus faecalis liaS mutant conferring daptomycin resistance,0.00081570996978852,0.0,,0.0,,0.00027190332326284,0.0003845293674126242,0.026183499862409896,1
Salmonella serovars gyrB conferring resistance to fluoroquinolones,0.0007766990291262135,0.0,,0.0,,0.0002588996763754045,0.0003661394336241023,0.024975515526602432,1
Shigella flexneri gyrA conferring resistance to fluoroquinolones,0.0007500750075007502,0.0,,0.0,,0.0002500250025002501,0.00035358874946822067,0.024148631798137803,1
Helicobacter pylori pbp3 conferring resistance to amoxicillin,0.0007377049180327869,0.0,,0.0,,0.0002459016393442623,0.0003477574333704332,0.02376376146499678,1
Salmonella enterica gyrA conferring resistance to fluoroquinolones,0.0007328990228013028,0.0,,0.0,,0.00024429967426710093,0.00034549191263186354,0.02361411872245636,1
Escherichia coli PtsI with mutation conferring resistance to fosfomycin,0.000487012987012987,0.0,,0.0,,0.00016233766233766234,0.00022958012376186608,0.0158694355363203,1
Ureaplasma urealyticum parC conferring resistance to fluoroquinolones,0.0004854368932038836,0.0,,0.0,,0.00016181229773462786,0.00022883714601506396,0.015819227095395343,1
Staphylococcus aureus gyrA conferring resistance to fluoroquinolones,0.0004821428571428575,0.0,,0.0,,0.00016071428571428584,0.0002272843225242476,0.015714267898109938,1
Morganella morganii gyrB conferring resistance to fluoroquinolones,0.0,1.009494207771861e-11,,0.0,,3.3649806925728697e-12,4.758801332560164e-12,3.3649806909715424e-10,1
Enterococcus faecalis gshF with mutation conferring daptomycin resistance,0.0,2.213572775691942e-15,,0.0,,7.37857591897314e-16,1.0434882135611337e-15,7.378575918972369e-14,1
